143,26,118
143,9,114
144,12,82
144,10,63
144,22,61
145,11,153
145,2,121
145,13,76
146,11,72
146,20,71
146,42,66
147,12,91
147,45,79
147,13,77
148,10,124
148,6,94
148,2,93
149,2,123
149,27,105
149,45,91
150,24,105
150,5,77
150,13,72
151,12,119
151,11,81
151,24,78
152,3,108
152,21,95
152,7,93
153,29,78
153,2,75
153,23,75
154,1,130
154,25,75
154,3,70
155,20,61
155,8,60
155,22,59
156,1,152
156,16,84
156,21,76
157,7,121
157,34,89
157,9,82
158,14,142
158,20,116
158,42,109
159,19,139
159,4,91
159,5,87
160,19,132
160,7,93
160,3,82
161,25,112
161,34,110
161,12,83
162,28,92
162,21,85
162,4,82
163,1,104
163,21,94
163,49,87
164,26,98
164,0,92
164,9,88
165,23,100
165,9,98
165,21,85
166,4,95
166,24,94
166,36,88
167,12,105
167,21,94
167,3,73
168,1,178
168,18,93
168,0,69
169,1,115
169,50,72
169,9,70
170,17,74
170,25,64
170,26,61
171,18,110
171,26,76
171,37,71
172,10,73
172,12,69
172,4,67
173,8,152
173,1,99
173,33,79
174,30,107
174,4,100
174,6,91
175,1,137
175,2,116
175,24,93
176,2,109
176,29,98
176,18,81
177,20,122
177,33,111
177,44,95
178,9,150
178,16,102
178,33,82
179,21,96
179,4,85
179,12,83
180,6,110
180,23,73
180,32,67
181,8,109
181,32,99
181,5,93
182,19,136
182,14,93
182,24,75
183,14,102
183,22,68
183,16,60
184,12,119
184,8,87
184,1,72
185,12,88
185,8,67
185,34,67
186,32,132
186,21,114
186,17,106
187,1,100
187,27,94
187,12,89
188,9,128
188,10,117
188,40,102
189,17,124
189,20,114
189,24,102
190,34,91
190,4,86
190,10,84
191,5,185
191,8,117
191,29,83
192,8,106
192,35,99
192,7,80
193,3,76
193,1,75
193,10,59
194,14,139
194,7,111
194,16,95
195,14,146
195,6,101
195,9,76
196,1,104
196,7,97
196,9,94
197,26,89
197,31,83
197,13,83
198,5,126
198,3,72
198,6,71
199,29,143
199,6,134
199,3,109
200,3,112
200,16,101
200,21,94
201,22,105
201,4,105
201,11,81
202,18,105
202,24,97
202,20,94
203,16,81
203,10,69
203,34,68
204,2,112
204,13,107
204,30,101
205,14,133
205,8,117
205,22,88
206,10,77
206,13,70
206,17,69
207,6,83
207,23,78
207,32,77
208,30,122
208,5,89
208,19,84
209,14,173
209,26,117
209,13,83
210,9,115
210,14,87
210,25,84
211,2,103
211,16,89
211,32,79
212,3,69
212,24,65
212,64,57
213,2,66
213,13,64
213,42,63
214,16,122
214,21,92
214,23,86
215,8,137
215,11,122
215,6,81
216,11,137
216,43,98
216,7,84
217,28,145
217,5,95
217,25,84
218,38,113
218,20,100
218,4,88
219,13,114
219,2,99
219,27,95
220,38,82
220,18,72
220,11,65
221,5,114
221,34,98
221,24,85
222,10,120
222,5,104
222,17,104
223,3,202
223,9,85
223,13,82
224,7,164
224,25,98
224,11,87
225,43,92
225,13,87
225,21,79
226,41,113
226,11,108
226,14,105
227,2,152
227,4,136
227,20,106
228,38,133
228,65,84
228,21,77
229,17,155
229,3,146
229,5,100
230,24,106
230,33,85
230,38,76
231,3,99
231,10,75
231,5,70
232,15,109
232,2,80
232,14,70
233,2,115
233,17,65
233,8,63
234,27,92
234,4,91
234,21,85
235,10,107
235,6,95
235,34,77
236,12,127
236,5,96
236,16,93
237,11,146
237,1,102
237,28,81
238,16,87
238,5,86
238,9,79
239,9,107
239,34,85
